xflr5 v6.62

Plane name :        NACA 4412
Polar name :        T1-10.0 m/s-VLM1
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.082575   0.000525   0.023222   0.023747   0.000000   0.000000  -0.075034   0.000000  -0.000000   10.0000    -0.1900
   -3.500     0.000  -0.038466   0.000343   0.022183   0.022527   0.000000   0.000000  -0.091696  -0.000000  -0.000000   10.0000    -0.4965
   -3.000     0.000   0.005654   0.000283   0.021245   0.021528   0.000000   0.000000  -0.108370   0.000000  -0.000000   10.0000     3.9811
   -2.500     0.000   0.049780   0.000343   0.020424   0.020766   0.000000   0.000000  -0.125050   0.000000  -0.000000   10.0000     0.5207
   -2.000     0.000   0.093906   0.000524   0.019647   0.020171   0.000000   0.000000  -0.141734   0.000000  -0.000000   10.0000     0.3123
   -1.500     0.000   0.138023   0.000826   0.018887   0.019713   0.000000   0.000000  -0.158417   0.000000   0.000000   10.0000     0.2372
   -1.000     0.000   0.182127   0.001249   0.018162   0.019411   0.000000   0.000000  -0.175094   0.000000  -0.000000   10.0000     0.1984
   -0.500     0.000   0.226211   0.001792   0.017352   0.019145   0.000000   0.000000  -0.191762   0.000000  -0.000000   10.0000     0.1748
    0.000     0.000   0.270267   0.002456   0.016296   0.018752   0.000000   0.000000  -0.208413   0.000000  -0.000000   10.0000     0.1589
    0.500     0.000   0.314290   0.003240   0.015096   0.018337   0.000000   0.000000  -0.225042   0.000000   0.000000   10.0000     0.1474
    1.000     0.000   0.358273   0.004144   0.014537   0.018681   0.000000   0.000000  -0.241646   0.000000  -0.000000   10.0000     0.1388
    1.500     0.000   0.402209   0.005167   0.014180   0.019347   0.000000   0.000000  -0.258222  -0.000000  -0.000000   10.0000     0.1320
    2.000     0.000   0.446093   0.006309   0.014027   0.020336   0.000000   0.000000  -0.274768   0.000000  -0.000000   10.0000     0.1266
    2.500     0.000   0.489917   0.007568   0.013973   0.021541   0.000000   0.000000  -0.291279  -0.000000  -0.000000   10.0000     0.1222
    3.000     0.000   0.533675   0.008944   0.013986   0.022930   0.000000   0.000000  -0.307750   0.000000   0.000000   10.0000     0.1185
    3.500     0.000   0.577361   0.010437   0.014086   0.024523   0.000000   0.000000  -0.324177  -0.000000  -0.000000   10.0000     0.1154
    4.000     0.000   0.620969   0.012044   0.014247   0.026291   0.000000   0.000000  -0.340556  -0.000000   0.000000   10.0000     0.1127
    4.500     0.000   0.664492   0.013766   0.014454   0.028219   0.000000   0.000000  -0.356881  -0.000000  -0.000000   10.0000     0.1104
    5.000     0.000   0.707923   0.015600   0.014705   0.030305   0.000000   0.000000  -0.373148  -0.000000  -0.000000   10.0000     0.1083
    5.500     0.000   0.751257   0.017547   0.015003   0.032550   0.000000   0.000000  -0.389353  -0.000000  -0.000000   10.0000     0.1065
    6.000     0.000   0.794487   0.019603   0.015345   0.034948   0.000000   0.000000  -0.405491  -0.000000  -0.000000   10.0000     0.1049
    6.500     0.000   0.837607   0.021769   0.015726   0.037494   0.000000   0.000000  -0.421557  -0.000000   0.000000   10.0000     0.1035
    7.000     0.000   0.880611   0.024042   0.016132   0.040174   0.000000   0.000000  -0.437547  -0.000000  -0.000000   10.0000     0.1022
    7.500     0.000   0.923493   0.026420   0.016563   0.042984   0.000000   0.000000  -0.453456  -0.000000   0.000000   10.0000     0.1011
    8.000     0.000   0.966246   0.028903   0.017017   0.045921   0.000000   0.000000  -0.469278  -0.000000  -0.000000   10.0000     0.1000
    8.500     0.000   1.008865   0.031489   0.017480   0.048969   0.000000   0.000000  -0.485009  -0.000000  -0.000000   10.0000     0.0991
    9.000     0.000   1.051344   0.034175   0.017945   0.052119   0.000000   0.000000  -0.500644   0.000000   0.000000   10.0000     0.0982
    9.500     0.000   1.093677   0.036959   0.018366   0.055325   0.000000   0.000000  -0.516175   0.000000   0.000000   10.0000     0.0974
   10.000     0.000   1.135857   0.039841   0.018760   0.058601   0.000000   0.000000  -0.531598   0.000000   0.000000   10.0000     0.0967
   10.500     0.000   1.177880   0.042817   0.019143   0.061960   0.000000   0.000000  -0.546909  -0.000000  -0.000000   10.0000     0.0960
   11.000     0.000   1.219739   0.045886   0.019536   0.065422   0.000000   0.000000  -0.562104  -0.000000   0.000000   10.0000     0.0954
   11.500     0.000   1.261429   0.049045   0.019993   0.069038   0.000000   0.000000  -0.577184   0.000000   0.000000   10.0000     0.0949
   12.000     0.000   1.302944   0.052292   0.020743   0.073035   0.000000   0.000000  -0.592161   0.000000   0.000000   10.0000     0.0943


