xflr5 v6.62

Plane name :        NACA 4412 w full body
Polar name :        T1-10.0 m/s-VLM2
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -4.000     0.000  -0.109833   0.000713   0.035774   0.036487   0.005729   0.000289  -0.155739  -0.002097  -0.002102   10.0000    -0.3004
   -3.500     0.000  -0.054138   0.000425   0.034475   0.034900   0.005779   0.000273  -0.168711  -0.002116  -0.002122   10.0000    -0.6579
   -3.000     0.000   0.001578   0.000341   0.033294   0.033635   0.005829   0.000256  -0.185256  -0.002135  -0.002141   10.0000    24.7412
   -2.500     0.000   0.057304   0.000464   0.032226   0.032690   0.005878   0.000239  -0.205370  -0.002154  -0.002160   10.0000     0.7534
   -2.000     0.000   0.113031   0.000792   0.031246   0.032038   0.005926   0.000221  -0.229049  -0.002172  -0.002178   10.0000     0.4246
   -1.500     0.000   0.168751   0.001326   0.030292   0.031618   0.005972   0.000203  -0.256287  -0.002189  -0.002196   10.0000     0.3165
   -1.000     0.000   0.224451   0.002065   0.029348   0.031413   0.006018   0.000185  -0.287075  -0.002206  -0.002214   10.0000     0.2645
   -0.500     0.000   0.280125   0.003010   0.028388   0.031398   0.006063   0.000167  -0.321404  -0.002222  -0.002230   10.0000     0.2349
    0.000     0.000   0.335760   0.004160   0.027316   0.031476   0.006107   0.000148  -0.359265  -0.002237  -0.002247   10.0000     0.2163
    0.500     0.000   0.391349   0.005514   0.025748   0.031262   0.006151   0.000129  -0.400644  -0.002252  -0.002262   10.0000     0.2040
    1.000     0.000   0.446881   0.007072   0.024700   0.031772   0.006193   0.000109  -0.445531  -0.002266  -0.002277   10.0000     0.1953
    1.500     0.000   0.502347   0.008832   0.024065   0.032897   0.006234   0.000090  -0.493917  -0.002280  -0.002292   10.0000     0.1890
    2.000     0.000   0.557738   0.010794   0.023685   0.034479   0.006274   0.000070  -0.545789  -0.002293  -0.002306   10.0000     0.1843
    2.500     0.000   0.613043   0.012957   0.023414   0.036371   0.006313   0.000050  -0.601132  -0.002305  -0.002319   10.0000     0.1805
    3.000     0.000   0.668254   0.015319   0.023311   0.038630   0.006351   0.000029  -0.659934  -0.002317  -0.002332   10.0000     0.1774
    3.500     0.000   0.723360   0.017879   0.023330   0.041209   0.006388   0.000009  -0.722174  -0.002328  -0.002344   10.0000     0.1748
    4.000     0.000   0.778353   0.020634   0.023464   0.044098   0.006424  -0.000012  -0.787841  -0.002338  -0.002356   10.0000     0.1724
    4.500     0.000   0.833224   0.023584   0.023654   0.047238   0.006459  -0.000033  -0.856908  -0.002348  -0.002366   10.0000     0.1701
    5.000     0.000   0.887962   0.026726   0.023912   0.050638   0.006493  -0.000054  -0.929355  -0.002357  -0.002377   10.0000     0.1678
    5.500     0.000   0.942559   0.030058   0.024222   0.054280   0.006526  -0.000075  -1.005157  -0.002366  -0.002386   10.0000     0.1654
    6.000     0.000   0.997005   0.033578   0.024618   0.058196   0.006558  -0.000096  -1.084298  -0.002373  -0.002395   10.0000     0.1630
    6.500     0.000   1.051292   0.037284   0.025040   0.062324   0.006589  -0.000118  -1.166750  -0.002381  -0.002404   10.0000     0.1604
    7.000     0.000   1.105411   0.041173   0.025474   0.066647   0.006618  -0.000139  -1.252487  -0.002387  -0.002412   10.0000     0.1576
    7.500     0.000   1.159352   0.045242   0.025998   0.071239   0.006647  -0.000161  -1.341494  -0.002393  -0.002419   10.0000     0.1546
    8.000     0.000   1.213106   0.049488   0.026551   0.076039   0.006674  -0.000183  -1.433731  -0.002398  -0.002425   10.0000     0.1514
    8.500     0.000   1.266665   0.053909   0.027091   0.080999   0.006700  -0.000205  -1.529173  -0.002402  -0.002431   10.0000     0.1479
    9.000     0.000   1.320021   0.058501   0.027773   0.086274   0.006725  -0.000226  -1.627858  -0.002406  -0.002436   10.0000     0.1441


